"Specimen_No","Site_No","Site","Element","p_immature","p_female","p_male"
157,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_dist",0,0.6,0.4
158,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.86,0.14
159,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.19,0.79,0.02
160,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
161,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.93,0.07
162,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_dist",0.32,0.25,0.44
163,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.88,0.12
164,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.99,0.01
165,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_dist",0,0.9,0.1
166,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_prox",0.06,0.65,0.29
167,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.18,0.78,0.04
168,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.89,0.11
169,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.92,0.08
170,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0,0.91,0.09
171,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.34,0.65,0.01
172,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.15,0.79,0.07
173,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
174,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.8,0.2
175,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
176,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.95,0.05
177,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.99,0.01
178,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.89,0.11
179,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0.95,0.01,0.04
180,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.99,0.01
181,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.97,0.03
182,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.13,0.76,0.11
183,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.19,0.8,0.01
184,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.17,0.8,0.03
185,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.41,0.59
186,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_dist",0,0.9,0.1
187,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.93,0.07
188,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0.96,0.04,0
189,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0,0.69,0.31
190,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.99,0.01
191,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_prox",0,0.74,0.26
192,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.17,0.81,0.02
193,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.58,0.42
