"Posterior Mean","Posterior Median","Posterior SD","5% Quantile","95% Quantile","rhat","Effective Sample Size (Bulk)","Effective Sample Size (Tail)","Parameter"
0.04,0.04,0.01,0.03,0.06,1,3048,3126,"Site 2 sigma_2"
0.04,0.04,0.01,0.03,0.06,1,3505,3330,"Site 3 sigma_2"
0.04,0.04,0.01,0.03,0.06,1,3421,3416,"Site 4 sigma_2"
0.04,0.04,0.01,0.02,0.05,1,3356,2734,"Site 5 sigma_2"
0.04,0.04,0.01,0.02,0.05,1,2406,2840,"Site 6 sigma_2"
0.04,0.04,0.01,0.03,0.05,1,2968,3373,"Site 7 sigma_2"
0.04,0.04,0.01,0.02,0.05,1,3047,3211,"Site 8 sigma_2"
0.04,0.04,0.01,0.03,0.05,1,2708,2237,"Site 9 sigma_2"
0.03,0.03,0.01,0.02,0.05,1,2740,3260,"Site 10 sigma_2"
0.04,0.04,0.01,0.03,0.05,1,3421,3233,"Site 11 sigma_2"
0.04,0.04,0.01,0.03,0.06,1,3745,3364,"Site 12 sigma_2"
0.04,0.04,0.01,0.03,0.05,1,3507,3247,"Site 13 sigma_2"
0.04,0.04,0.01,0.03,0.07,1,2526,3280,"Site 14 sigma_2"
0.04,0.04,0.01,0.03,0.06,1,3829,2981,"Site 15 sigma_2"
0.04,0.03,0.01,0.02,0.05,1,2482,2861,"Site 1 sigma_3"
0.04,0.04,0.01,0.03,0.06,1,2623,2689,"Site 2 sigma_3"
0.04,0.04,0.01,0.03,0.07,1,1457,2087,"Site 3 sigma_3"
0.04,0.03,0.01,0.02,0.05,1,3098,2921,"Site 4 sigma_3"
0.03,0.03,0.01,0.02,0.04,1,1783,2453,"Site 5 sigma_3"
0.04,0.04,0.01,0.02,0.05,1,3349,2818,"Site 6 sigma_3"
0.04,0.04,0.01,0.03,0.05,1,3119,2859,"Site 7 sigma_3"
0.04,0.04,0.01,0.03,0.06,1,2563,3421,"Site 8 sigma_3"
0.04,0.03,0.01,0.02,0.05,1,2519,2805,"Site 9 sigma_3"
0.04,0.03,0.02,0.02,0.06,1,1730,1262,"Site 10 sigma_3"
0.04,0.04,0.01,0.03,0.05,1,3443,3539,"Site 11 sigma_3"
0.04,0.04,0.01,0.03,0.05,1,2306,2881,"Site 12 sigma_3"
0.04,0.04,0.01,0.03,0.05,1,2947,3016,"Site 13 sigma_3"
0.03,0.03,0.01,0.02,0.05,1,2178,2717,"Site 14 sigma_3"
0.03,0.03,0.01,0.02,0.04,1,2331,3323,"Site 15 sigma_3"
