"Element_Portion","Element","ID","Specimen_No","i.Element_Portion","Immature","Site","Taxon","Anatomy","Proximal Fusion","Distal Fusion"
7,"PH1","Barcin Bone 2776",26,7,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
4,"Mtc_prox","Barcin Bone 2809",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
14,"Hum","Barcin Bone 2828",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","",""
10,"Rad_prox","Barcin Bone 2832",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","Proximal epiphysis fused",""
15,"Pel","Barcin Bone 2833",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
14,"Hum","Barcin Bone 2834",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","",""
3,"Mtc_dist","Barcin Bone 2855",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis fused"
7,"PH1","Barcin Bone 2856",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 2857",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2858",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2859",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2860",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2861",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2862",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2863",28,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
14,"Hum","Barcin Bone 2866",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","",""
10,"Rad_prox","Barcin Bone 2867",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","",""
12,"Fem_dist","Barcin Bone 2868",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","femur","","Distal epiphysis fused"
6,"Mtt_prox","Barcin Bone 2869",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
12,"Fem_dist","Barcin Bone 2871",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","femur","","Distal epiphysis fused"
7,"PH1","Barcin Bone 2889",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
9,"Rad_dist","Barcin Bone 2890",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis unfused"
8,"PH2","Barcin Bone 2900",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2901",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
4,"Mtc_prox","Barcin Bone 2919",29,4,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
14,"Hum","Barcin Bone 2920",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","",""
13,"Fem_prox","Barcin Bone 2921",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","femur","",""
14,"Hum","Barcin Bone 2932",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","","Distal epiphysis fusing"
11,"Tib_dist","Barcin Bone 2933",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
1,"Ast","Barcin Bone 2934",30,1,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
13,"Fem_prox","Barcin Bone 2948",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","femur","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 2949",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2950",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 2951",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2952",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2953",31,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2954",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 2955",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
15,"Pel","Barcin Bone 2956",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
5,"Mtt_dist","Barcin Bone 2967",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis fused"
11,"Tib_dist","Barcin Bone 3000",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
18,"Uln","Barcin Bone 3001",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","ulna","Proximal epiphysis fused",""
16,"Sca","Barcin Bone 3002",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","scapula","",""
6,"Mtt_prox","Barcin Bone 3003",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
15,"Pel","Barcin Bone 3018",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
