"Element_Portion","Element","ID","Specimen_No","i.Element_Portion","Immature","Site","Taxon","Anatomy","Proximal Fusion","Distal Fusion"
6,"Mtt_prox","Barcin Bone 427",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
2,"Cal","Barcin Bone 429",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","",""
7,"PH1","Barcin Bone 431",53,7,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 432",54,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 433",55,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 434",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 435",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
10,"Rad_prox","Barcin Bone 440",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","",""
7,"PH1","Barcin Bone 448",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 449",56,7,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 450",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
8,"PH2","Barcin Bone 451",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
4,"Mtc_prox","Barcin Bone 452",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
10,"Rad_prox","Barcin Bone 541",57,10,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","",""
9,"Rad_dist","Barcin Bone 542",58,9,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis unfused"
11,"Tib_dist","Barcin Bone 546",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
11,"Tib_dist","Barcin Bone 547",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
11,"Tib_dist","Barcin Bone 548",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
11,"Tib_dist","Barcin Bone 549",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis unfused"
11,"Tib_dist","Barcin Bone 550",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis unfused"
3,"Mtc_dist","Barcin Bone 552",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis unfused"
7,"PH1","Barcin Bone 557",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 558",59,7,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 559",60,7,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
8,"PH2","Barcin Bone 560",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
3,"Mtc_dist","Barcin Bone 564",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis fused"
